0000 544286 0.957937 0.016374 102.464073	188.254104	1500 1500 1500 950
0000 595038 0.957271 0.016923 102.444275	-0.390098	1500 1500 1500 950
0000 645331 0.957263 0.017304 102.425026	-0.382736	1500 1500 1500 950
0000 695564 0.955468 0.017071 102.407372	-0.351451	1500 1500 1500 950
0000 749397 0.954850 0.017743 102.387962	-0.360544	1500 1500 1500 950
0000 797707 0.956922 0.019963 102.371338	-0.344120	1500 1500 1500 950
0000 846688 0.958369 0.020832 102.352837	-0.377724	1500 1500 1500 950
0000 896707 0.960165 0.021702 102.334366	-0.369275	1500 1500 1500 950
0000 947062 0.960193 0.022902 102.315193	-0.380750	1500 1500 1500 950
0000 997691 0.961447 0.025455 102.297615	-0.347195	1500 1500 1500 950
0001 050304 0.963250 0.026168 102.278549	-0.362379	1500 1500 1500 950
0001 098095 0.964834 0.027599 102.261253	-0.361906	1500 1500 1500 950
0001 149548 0.965801 0.028513 102.243774	-0.339707	1500 1500 1500 950
0001 199078 0.964942 0.028916 102.226318	-0.352434	1500 1500 1500 950
0001 248761 0.963948 0.029268 102.207390	-0.380986	1500 1500 1500 950
0001 298811 0.964126 0.031703 102.189354	-0.360357	1500 1500 1500 950
0001 349165 0.964270 0.032080 102.170067	-0.383030	1500 1500 1500 950
0001 399306 0.962322 0.033824 102.151199	-0.376289	1500 1500 1500 950
0001 449630 0.960481 0.033936 102.134918	-0.323526	1500 1500 1500 950
0001 499954 0.959643 0.034679 102.117561	-0.344902	1500 1500 1500 950
0001 551713 0.959684 0.036100 102.099678	-0.345511	1500 1500 1500 950
0001 600572 0.957344 0.035942 102.081833	-0.365238	1500 1500 1500 950
0001 650804 0.957537 0.035024 102.064362	-0.347812	1500 1500 1500 950
0001 701494 0.959324 0.035740 102.048882	-0.305386	1500 1500 1500 950
0001 754351 0.959349 0.036560 102.031303	-0.332560	1500 1500 1500 950
0001 803394 0.961821 0.034266 102.015160	-0.329176	1500 1500 1500 950
0001 852344 0.963137 0.035639 101.996834	-0.374378	1500 1500 1500 950
0001 902699 0.965844 0.034922 101.978226	-0.369538	1500 1500 1500 950
0002 784666 0.965313 0.034571 101.961121	-0.019394	1500 1500 1500 950
0002 834837 0.962846 0.037834 101.678757	-5.628030	1500 1500 1500 950
0002 885405 0.965050 0.038087 101.662422	-0.323021	1500 1500 1500 950
0002 943481 0.964504 0.037339 101.631355	-0.534935	1500 1500 1500 950
0002 994781 0.964296 0.035374 101.616959	-0.280637	1500 1500 1500 950
0003 046540 0.962542 0.034310 101.600937	-0.309545	1500 1500 1500 950
0003 095582 0.962546 0.033470 101.584793	-0.329183	1500 1500 1500 950
0003 148134 0.959428 0.032157 101.568039	-0.318811	1500 1500 1500 950
0003 200503 0.959691 0.032350 101.554924	-0.250433	1500 1500 1500 950
0003 249819 0.959013 0.030203 101.541161	-0.279086	1500 1500 1500 950
0003 300052 0.955365 0.030087 101.527473	-0.272473	1500 1500 1500 950
0003 350773 0.956521 0.029600 101.511772	-0.309562	1500 1500 1500 950
0003 401097 0.956365 0.028925 101.497375	-0.286080	1500 1500 1500 950
0003 450780 0.957686 0.029699 101.482208	-0.305280	1500 1500 1500 950
0003 501073 0.958864 0.030881 101.467720	-0.288076	1500 1500 1500 950
0003 552801 0.958936 0.031415 101.451637	-0.310910	1500 1500 1500 950
0003 601752 0.960495 0.033780 101.438438	-0.269634	1500 1500 1500 950
0003 651587 0.959460 0.034404 101.424690	-0.275874	1500 1500 1500 950
0003 702339 0.960765 0.034872 101.410698	-0.275700	1500 1500 1500 950
0003 755440 0.963613 0.035821 101.396851	-0.260774	1500 1500 1500 950
0003 803414 0.963743 0.036456 101.382614	-0.296753	1500 1500 1500 950
0003 852700 0.964132 0.036059 101.368546	-0.285448	1500 1500 1500 950
0003 902963 0.963677 0.033113 101.353477	-0.299784	1500 1500 1500 950
0003 953470 0.964047 0.032479 101.339836	-0.270088	1500 1500 1500 950
0004 004222 0.964169 0.031871 101.324738	-0.297497	1500 1500 1500 950
0004 056224 0.964400 0.028837 101.309067	-0.301349	1500 1500 1500 950
0004 104504 0.962389 0.026008 101.296448	-0.261372	1500 1500 1500 950
0004 156262 0.961493 0.024852 101.281570	-0.287440	1500 1500 1500 950
0004 204938 0.961266 0.026221 101.268608	-0.266298	1500 1500 1500 950
0004 255689 0.963297 0.027661 101.256584	-0.236920	1500 1500 1500 950
0004 305983 0.962662 0.028289 101.243683	-0.256518	1500 1500 1500 950
0004 356124 0.962382 0.029306 101.231598	-0.241020	1500 1500 1500 950
0004 406478 0.962411 0.030028 101.218636	-0.257424	1500 1500 1500 950
0004 456802 0.961101 0.032496 101.204674	-0.277438	1500 1500 1500 950
0004 507401 0.960981 0.035056 101.192421	-0.242155	1500 1500 1500 950
0004 558671 0.960365 0.035612 101.180466	-0.233182	1500 1500 1500 950
0004 607957 0.960210 0.034573 101.167870	-0.255572	1500 1500 1500 950
0004 658495 0.961821 0.034269 101.156319	-0.228559	1500 1500 1500 950
0004 708575 0.960218 0.034743 101.145020	-0.225622	1500 1500 1000 950
0004 761096 0.958020 0.031649 101.133659	-0.216298	1500 1500 1000 950
0004 810382 0.960083 0.034183 101.121803	-0.240557	1500 1500 1000 950
0004 859516 0.936237 0.036772 101.112335	-0.192699	1500 1500 1000 950
0004 909718 0.907771 0.047925 101.104950	-0.147111	1500 1500 1000 950
0004 960286 0.898472 0.060454 101.099388	-0.109987	1500 1500 1000 950
0005 011068 0.892940 0.066643 101.095451	-0.077523	1500 1500 1000 950
0005 061941 0.903410 0.061683 101.092339	-0.061188	1500 1500 1000 950
0005 110800 0.887684 0.078942 101.089218	-0.063866	1500 1500 1000 950
0005 162101 0.907157 0.105759 101.088074	-0.022308	1500 1500 1000 950
0005 211204 0.905124 0.122679 101.087563	-0.010410	1500 1500 1000 950
0005 261498 0.920140 0.094591 101.085693	-0.037166	1500 1500 1000 950
0005 311852 0.939647 0.118063 101.084053	-0.032576	1500 1500 1000 950
0005 362054 0.944556 0.107776 101.083153	-0.017933	1500 1500 1000 950
