0000 550725 0.827744 0.248441 -30.782787	-55.895024	1500 1500 1500 950
0000 601720 0.822503 0.248739 -30.772476	0.202199	1500 1500 1500 950
0000 652502 0.809743 0.248977 -30.761299	0.220099	1500 1500 1500 950
0000 702032 0.805002 0.248089 -30.750923	0.209489	1500 1500 1500 950
0000 752326 0.813222 0.247190 -30.742006	0.177295	1500 1500 1500 950
0000 802467 0.823781 0.246468 -30.733334	0.172967	1500 1500 1500 950
0000 854438 0.826927 0.242873 -30.724432	0.171280	1500 1500 1500 950
0000 904030 0.819762 0.241789 -30.714249	0.205342	1500 1500 1500 950
0000 953744 0.812697 0.238574 -30.705313	0.179747	1500 1500 1500 950
0001 003915 0.816959 0.236629 -30.695015	0.205254	1500 1500 1500 950
0001 054239 0.830171 0.234921 -30.685511	0.188863	1500 1500 1500 950
0001 104837 0.838649 0.233578 -30.676126	0.185465	1500 1500 1500 950
0001 158427 0.833175 0.232084 -30.666609	0.177602	1500 1500 1500 950
0001 209269 0.821463 0.230211 -30.659027	0.149123	1500 1500 1500 950
0001 259776 0.820237 0.231873 -30.650166	0.175452	1500 1500 1500 950
0001 309856 0.830164 0.232638 -30.642485	0.153372	1500 1500 1500 950
0001 359631 0.839705 0.234031 -30.632956	0.191444	1500 1500 1500 950
0001 409955 0.836737 0.234372 -30.624348	0.171049	1500 1500 1500 950
0001 460248 0.823784 0.236021 -30.612394	0.237674	1500 1500 1500 950
0001 510359 0.815315 0.235570 -30.602091	0.205613	1500 1500 1500 950
0001 560652 0.821348 0.237701 -30.592089	0.198877	1500 1500 1500 950
0001 610701 0.832442 0.237959 -30.581652	0.208536	1500 1500 1500 950
0001 661788 0.834948 0.238859 -30.571945	0.189999	1500 1500 1500 950
0001 711319 0.824620 0.239546 -30.561762	0.205595	1500 1500 1500 950
0001 761612 0.814217 0.240454 -30.553326	0.167741	1500 1500 1500 950
0001 811722 0.814959 0.239572 -30.543573	0.194617	1500 1500 1500 950
0001 863877 0.829105 0.239600 -30.534155	0.180586	1500 1500 1500 950
0001 913103 0.839767 0.236626 -30.526268	0.160218	1500 1500 1500 950
0001 962755 0.836804 0.234908 -30.516697	0.192763	1500 1500 1500 950
0002 013048 0.827602 0.232111 -30.507452	0.183821	1500 1500 1500 950
0002 063311 0.827913 0.228963 -30.497595	0.196112	1500 1500 1500 950
0002 113849 0.838484 0.230119 -30.489655	0.157115	1500 1500 1500 950
0002 164325 0.850483 0.229484 -30.480640	0.178582	1500 1500 1500 950
0002 213856 0.850551 0.228827 -30.471733	0.179833	1500 1500 1500 950
0002 264516 0.837197 0.229110 -30.462254	0.187120	1500 1500 1500 950
0002 314260 0.830339 0.233058 -30.452656	0.192943	1500 1500 1500 950
0002 364431 0.833501 0.235796 -30.444956	0.153474	1500 1500 1500 950
0002 414938 0.843657 0.236541 -30.436256	0.172242	1500 1500 1500 950
0002 464987 0.846882 0.236271 -30.426531	0.194321	1500 1500 1500 950
0002 515281 0.835479 0.238008 -30.416668	0.196105	1500 1500 1500 950
0002 565422 0.821322 0.239416 -30.407383	0.185177	1500 1500 1500 950
0002 615562 0.820798 0.242619 -30.399412	0.158971	1500 1500 1500 950
0002 666191 0.829840 0.242719 -30.390253	0.180906	1500 1500 1500 950
0002 715966 0.837796 0.242546 -30.380114	0.203706	1500 1500 1500 950
0002 766076 0.831875 0.242018 -30.371084	0.180191	1500 1500 1500 950
0002 816339 0.820191 0.242540 -30.360750	0.205599	1500 1500 1500 950
0002 867884 0.816226 0.240992 -30.349964	0.209255	1500 1500 1500 950
0002 917414 0.825790 0.239021 -30.340395	0.193199	1500 1500 1500 950
